10.0.2.16;45.57.74.180;55736;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,35466,21;ipv4-c089-fra002-ix.1.oca.nflxvideo.net;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
45.57.74.180;10.0.2.16;443;55732;2;0x00000303;4865;43,51;;;
45.57.74.180;10.0.2.16;443;55734;2;0x00000303;4865;43,51;;;
45.57.74.180;10.0.2.16;443;55736;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.74.143;50768;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,43690,21;ipv4-c014-fra002-ix.1.oca.nflxvideo.net;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
45.57.74.143;10.0.2.16;443;50768;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.138;45480;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,47802,21;ipv4-c020-vie001-ix.1.oca.nflxvideo.net;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.146;48192;443;1;0x00000303;39578,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,27242,21;ipv4-c031-vie001-ix.1.oca.nflxvideo.net;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
45.57.16.138;10.0.2.16;443;45480;2;0x00000303;4865;43,51;;;
45.57.16.146;10.0.2.16;443;48192;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.140;38000;443;1;0x00000303;39578,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,39578,21;ipv4-c022-vie001-ix.1.oca.nflxvideo.net;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
45.57.16.140;10.0.2.16;443;38000;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.74.156;56378;443;1;0x00000303;19018,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;60138,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,19018,21;ipv4-c042-fra002-ix.1.oca.nflxvideo.net;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.74.183;40394;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,31354,21;ipv4-c092-fra002-ix.1.oca.nflxvideo.net;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.74.183;40396;443;1;0x00000303;31354,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;6682,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,23130,21;ipv4-c092-fra002-ix.1.oca.nflxvideo.net;0x0000dada,0x0000001d,0x00000017,0x00000018;0
45.57.74.156;10.0.2.16;443;56378;2;0x00000303;4865;43,51;;;
